q_no,Question
q1,Q1. Some question text related to introductory presentation content.
q2,Q2. Some question text related to introductory presentation content.
q3,Q3. Fill out information about your selected Virginia Reservoirs LTREB site.
q3a,a. Name of selected site:
q3b,b. Four letter site identifier:
q3c,c. Reservoir uses:
q3d,d. Mean total phosphorus (ug/l):
q3e,e. Reservoir area (sq ft):
q3f,f. Maximum depth (ft):
q4,Q4. Does your chosen reservoir site exceed a TSI of 60 (indicating negative human impacts on water quality) according to average total phosphorus levels? 
q5,Q5. Water is most dense at 4 degrees Celsius. What temperature is this in degrees Fahrenheit?
q6,Q6. Describe two possible effects fall turnover can have on water quality.
q7,Q7. The water temperatures on the plot are in degrees Celsius. What is the warmest observed water temperature at your reservoir in degrees Fahrenheit?
q8,Q8. What is the coldest observed water temperature at your reservoir in degrees Fahrenheit?
q9,Q9. Fall turnover can be defined as the day when the temperature difference between the shallowest and deepest depths in the reservoir is less than 1 degree Celsius. What day did fall turnover occur in the reservoir? 
q10,"Q10. During summer thermal stratification, dissolved oxygen in the bottom waters of a reservoir may become depleted. Explain why this occurs."
q11,Q11. Why are low dissolved oxygen levels often associated with poor water quality?
q12,Q12. The dissolved oxygen data on the plot are in ppm. What is lowest observed dissolved oxygen concentration in the surface waters of the reservoir in mg/L?
q13,Q13. What is the lowest observed dissolved oxygen concentration in the bottom waters of the reservoir in mg/L?
q14,"Q14. Two mg/L is a commonly used threshold to indicate that dissolved oxygen concentrations are low enough to cause water quality concerns. Does your reservoir exhibit dissolved oxygen concentrations less than 2 mg/L? If so, at which depth and when during the year does this occur?"
q15,Q10. Is the reservoir currently thermally stratified or mixed? Explain how you know.
q16,"Q11. Do you observe hypoxia at any depth in the reservoir? If so, which depth?"
q17,"Q12. At what depth is the turbidity sensor deployed, and is turbidity currently high or low (need to define what ""high"" and ""low"" mean)? "
q18,Q13. Which depth do you choose for water extraction?
q19,Q14. Explain your reasoning behind your decision.
q20,Q15. Fall turnover occurs when water temperatures are within 1 degree C of each other across all the depths of the reservoir. On what date did fall turnover occur this past fall?
q21,Q16. What happens to DO during fall turnover? How might this affect water quality?
q22,Q17. What happens to turbidity during fall turnover? How might this affect water quality?
q23,Q18. Which depth would you choose for water extraction TWO DAYS BEFORE the day of fall turnover? Explain your reasoning.
q24,Q19. Which depth would you choose for water extraction TWO DAYS AFTER the day of fall turnover? Explain your reasoning.
q25,"Q20. Compare your answers to Q18 and Q19. Were your choices different before and after turnover? If so, explain why."
q26,Q21. Is the reservoir currently thermally stratified or mixed? Explain how you know.
q27,"Q22. Compare dissolved oxyen concentrations at the deepest depth in your reservoir (9 m for Falling Creek and 13 m for Beaverdam) between the summer and winter data. Do they differ? If so, how?"
q28,"Q23. Compare turbidity concentrations in your reservoir between the sumemr and winder data. Do they differ? If so, how?"
q29,Q24. Which depth do you choose for water extraction?
q30,Q25. Explain your reasoning behind your decision.
q31,Q26. What is the forecasted probability of turnover occurring on Oct. 15? Do you think it is likely turnover will occur on this date?
q32,Q27. What is the forecast probability of turnover occurring on Oct. 27? Do you think it is likely turnover will occur on this date?
q33,Q28. What water quality changes (positive or negative!) might you observe when the reservoir turns over? Name at least two.
